"","ID","site","clone","clone.new","row","col","F1","F2","F23","F24","F24.segment_L","F24.segment_P","F24.segment","X24.GCC","X24.RCC","F25","F25.segment_P","F25.segment_L","F25.segment","X25.GCC","X25.RCC"
"461","H10x38","H","92","78","10","38","2",3,2,4,0.347006834,0.310676284,0.328841559,0.460617475,0.326122876,3,0.340368082,0.349758339,0.345063211,0.463474636,0.360550337
"508","H11x38","H","53","52","11","38","1",2,2,3,0.12491059,0.175333431,0.15012201,0.466138555,0.340623454,3,0.455401085,0.414984432,0.435192758,0.458494198,0.359200417
"39","H1x39","H","42","38","1","39","0",1,0,2,0.085537469,0.097579033,0.091558251,0.457495064,0.329997042,1,0.045365727,0.024538655,0.034952191,0.443298068,0.338124969
"86","H2x39","H","68","68","2","39","3",3,2,4,0.329042925,0.285622434,0.30733268,0.492437003,0.321634114,3,0.402973046,0.368372758,0.385672902,0.471674462,0.351921248
"133","H3x39","H","25","25","3","39","2",3,2,3,0.267121884,0.230878325,0.249000104,0.462387448,0.321651319,3,0.196219621,0.191249493,0.193734557,0.435682095,0.359071006
"180","H4x39","H","50","49","4","39","0",1,0,2,0.070165786,0.089845339,0.080005563,0.45996947,0.320211754,3,0.254132677,0.202586987,0.228359832,0.449228769,0.331833549
"227","H5x39","H","23","23","5","39","0",1,1,1,0.069744206,0.073526715,0.07163546,0.450340906,0.371264112,2,0.05913272,0.116487176,0.087809948,0.453983643,0.362570726
"274","H6x39","H","82","32","6","39","1",2,1,2,0.085449651,0.115366618,0.100408134,0.471131864,0.338520147,3,0.189718082,0.17491938,0.182318731,0.461199623,0.364976874
"321","H7x39","H","32","32","7","39","1",2,1,2,0.073308539,0.10810164,0.09070509,0.450910971,0.321745325,3,0.203318779,0.125238073,0.164278426,0.44679623,0.349065377
"368","H8x39","H","63","61","8","39","2",3,1,3,0.209111219,0.205510356,0.207310788,0.470851883,0.327400926,3,0.31546906,0.283684177,0.299576618,0.460543138,0.368717765
