"","ID","site","clone","row","col","VS_24","FR_24","GCC_24","RCC_24","VS_25","FR_25","GCC_25","RCC_25"
"352","H8x23","H","40","8","23",4,0.315010875,0.483625403,0.326379131,4,0.380308,0.477537011,0.348475508
"399","H9x23","H","67","9","23",0,0.057925798,0.448063294,0.358165444,0,0.099795411,0.445517723,0.402017577
"446","H10x23","H","85","10","23",2,0.13156639,0.441651192,0.326247383,3,0.191161563,0.452750942,0.35629207
"493","H11x23","H","32","11","23",2,0.181349711,0.457613927,0.323602095,3,0.171768526,0.447230714,0.344249193
"24","H1x24","H","48","1","24",2,0.05375373,0.468747305,0.338100888,1,0.124495214,0.454142457,0.35722057
"71","H2x24","H","75","2","24",3,0.207474234,0.476646453,0.339619996,3,0.384370724,0.4700677,0.37946852
"118","H3x24","H","39","3","24",3,0.230054386,0.473067446,0.340412665,3,0.327840192,0.467732,0.368027527
"165","H4x24","H","74","4","24",4,0.251047686,0.467176418,0.317786398,4,0.397930877,0.461092563,0.343547877
"212","H5x24","H","44","5","24",4,0.260789159,0.482630153,0.330433386,3,0.243931523,0.458169281,0.342592723
"259","H6x24","H","55","6","24",3,0.265022191,0.475484676,0.364818123,2,0.116164227,0.442736997,0.372832627
"306","H7x24","H","87","7","24",3,0.323257777,0.473373568,0.33133174,4,0.380121451,0.465527113,0.360826257
"353","H8x24","H","80","8","24",2,0.067057832,0.442500215,0.335469432,3,0.277820297,0.451713031,0.364197675
"400","H9x24","H","85","9","24",4,0.210338855,0.445141535,0.325755756,3,0.351682768,0.458459724,0.358177432
"447","H10x24","H","55","10","24",3,0.276022881,0.454434458,0.337391067,4,0.309872192,0.464384152,0.373723769
"494","H11x24","H","93","11","24",4,0.35865073,0.466691716,0.322662885,4,0.344591817,0.469729611,0.36506588
"25","H1x25","H","46","1","25",3,0.174867137,0.476773288,0.335712379,3,0.280582495,0.473284864,0.358264585
"72","H2x25","H","44","2","25",3,0.302571627,0.475546514,0.325746461,2,0.120550241,0.43486744,0.372579411
"119","H3x25","H","90","3","25",2,0.121017869,0.465319635,0.328093422,2,0.081308432,0.441329515,0.348176507
"166","H4x25","H","33","4","25",3,0.107428689,0.461908542,0.330625109,4,0.523207263,0.485705935,0.351162318
"213","H5x25","H","85","5","25",2,0.110640615,0.476421607,0.33593608,3,0.233549573,0.463134558,0.374157789
"260","H6x25","H","49","6","25",2,0.068346369,0.455207696,0.326838105,2,0.097600421,0.44910885,0.354581688
"307","H7x25","H","49","7","25",2,0.053410352,0.450957572,0.332609258,2,0.121578952,0.445201543,0.349905403
"354","H8x25","H","86","8","25",3,0.211812843,0.465362841,0.33048682,3,0.34496327,0.457698837,0.356243366
"401","H9x25","H","38","9","25",1,0.031806461,0.45066406,0.334975113,1,0.026608517,0.465141541,0.34019136
"448","H10x25","H","77","10","25",5,0.414842449,0.460809715,0.317520887,5,0.311591961,0.471118171,0.338422202
"495","H11x25","H","71","11","25",4,0.401984901,0.469229385,0.334790426,4,0.426462395,0.477923165,0.37101761
"26","H1x26","H","69","1","26",3,0.273037436,0.47810769,0.328392109,3,0.288693172,0.462280715,0.341266113
"73","H2x26","H","103","2","26",3,0.188217072,0.469008584,0.328193102,4,0.298828044,0.452496062,0.351786654
"120","H3x26","H","52","3","26",3,0.364756356,0.492288574,0.322729168,5,0.413472759,0.466923684,0.354415993
"167","H4x26","H","52","4","26",3,0.2860056,0.480841129,0.322690071,3,0.305511932,0.453190914,0.342864641
"214","H5x26","H","28","5","26",3,0.131569671,0.471776874,0.32663678,3,0.137550158,0.451045015,0.355978779
"261","H6x26","H","84","6","26",2,0.103566026,0.452329582,0.324869515,3,0.323370382,0.460611881,0.353645781
"308","H7x26","H","64","7","26",2,0.105240645,0.449475112,0.327763144,4,0.339728068,0.460640335,0.357235852
"355","H8x26","H","33","8","26",3,0.258422457,0.48491274,0.341169794,4,0.39681177,0.478126935,0.362157898
"402","H9x26","H","49","9","26",2,0.025264409,0.443407156,0.335568822,2,0.077818256,0.451279319,0.354437871
"449","H10x26","H","64","10","26",3,0.19013372,0.445063747,0.327013468,3,0.364709773,0.467500325,0.364426758
"496","H11x26","H","36","11","26",4,0.267183254,0.453028398,0.327409946,4,0.403803245,0.479635237,0.36608528
"27","H1x27","H","34","1","27",4,0.271631157,0.476179041,0.337794189,4,0.389348297,0.462141806,0.359475865
"74","H2x27","H","47","2","27",4,0.29410471,0.480827795,0.320466154,4,0.356629623,0.458592744,0.355078093
"121","H3x27","H","25","3","27",1,0.016615514,0.452722166,0.348451002,NA,NA,NA,NA
"168","H4x27","H","35","4","27",2,0.196978769,0.469747783,0.325599282,3,0.241543738,0.45281225,0.349601971
"215","H5x27","H","32","5","27",3,0.159973762,0.470082647,0.338392646,3,0.271824373,0.459653209,0.353992577
"262","H6x27","H","82","6","27",3,0.168437339,0.467370449,0.32169226,3,0.374203788,0.462577626,0.352499647
"309","H7x27","H","62","7","27",3,0.287005219,0.475325125,0.332497033,3,0.301740588,0.457342064,0.36638407
"356","H8x27","H","63","8","27",3,0.173144717,0.459927511,0.326428948,3,0.303082534,0.45540728,0.351274406
"403","H9x27","H","58","9","27",4,0.174606713,0.450091572,0.32668938,5,0.431147994,0.475217014,0.365563824
"450","H10x27","H","46","10","27",2,0.237601771,0.463504551,0.32983987,3,0.2343723,0.465469496,0.362933043
"497","H11x27","H","63","11","27",2,0.207038631,0.460614424,0.326868361,3,0.138374467,0.47793119,0.352334479
"28","H1x28","H","83","1","28",4,0.264276877,0.461610174,0.324744855,5,0.401828043,0.458272752,0.33085909
"75","H2x28","H","66","2","28",3,0.223478419,0.473946287,0.324319801,3,0.320111088,0.457027303,0.350363159
"122","H3x28","H","36","3","28",4,0.331389422,0.486633497,0.320321209,5,0.432910572,0.471213745,0.343609437
"169","H4x28","H",NA,"4","28",NA,NA,NA,NA,NA,NA,NA,NA
"216","H5x28","H","27","5","28",2,0.066130508,0.456862267,0.325135231,3,0.190012602,0.451546676,0.361922186
"263","H6x28","H","69","6","28",3,0.272077849,0.484197169,0.329155829,3,0.34066564,0.474962095,0.353668434
"310","H7x28","H","52","7","28",3,0.223619094,0.467249317,0.334011126,3,0.205727374,0.451772215,0.346225452
"357","H8x28","H","52","8","28",3,0.20618247,0.472461565,0.342948123,3,0.31489178,0.460233448,0.369929126
"404","H9x28","H","69","9","28",3,0.100095197,0.461312785,0.324485198,0,0.008151314,0.440524659,0.352297164
"451","H10x28","H","71","10","28",3,0.2465507,0.480589221,0.333884966,4,0.351109253,0.480117192,0.387458549
"498","H11x28","H","88","11","28",1,0.053458135,0.452887829,0.335054248,0,0.033828263,0.449431888,0.375912559
"29","H1x29","H","67","1","29",3,0.134630072,0.464258372,0.329978929,4,0.275381105,0.455937539,0.340079833
"76","H2x29","H","80","2","29",3,0.276811992,0.480767721,0.329851042,3,0.315341544,0.452186183,0.363451938
"123","H3x29","H","80","3","29",3,0.270869949,0.475555164,0.330507376,3,0.209525736,0.442127015,0.357977424
"170","H4x29","H","40","4","29",3,0.314808,0.489778188,0.317655797,4,0.475256932,0.479584802,0.346260459
"217","H5x29","H","74","5","29",3,0.32005436,0.482308317,0.323885834,4,0.393526009,0.473135937,0.349426182
"264","H6x29","H","103","6","29",2,0.091702945,0.461397575,0.340700504,2,0.106809609,0.44977308,0.350581868
"311","H7x29","H","38","7","29",2,0.051944991,0.447456616,0.332810547,1,0.034659645,0.447629353,0.348477758
"358","H8x29","H",NA,"8","29",3,0.100180631,0.451693745,0.317597617,4,0.283757699,0.457012757,0.35489531
"405","H9x29","H","90","9","29",3,0.166547366,0.450754299,0.324819546,3,0.115037268,0.445419893,0.347488539
"452","H10x29","H",NA,"10","29",2,0.092154381,0.45212275,0.336105841,NA,NA,NA,NA
"499","H11x29","H",NA,"11","29",NA,NA,NA,NA,NA,NA,NA,NA
"30","H1x30","H","64","1","30",2,0.094748089,0.466041644,0.33671992,3,0.374730459,0.470609717,0.361098044
"77","H2x30","H","61","2","30",3,0.186852288,0.476374016,0.329409278,3,0.346857404,0.464818638,0.36677487
"124","H3x30","H","78","3","30",3,0.217315656,0.464441911,0.323396466,3,0.312250282,0.44774983,0.353306651
"171","H4x30","H","92","4","30",2,0.134786979,0.467968878,0.328765967,2,0.161205353,0.44643059,0.342003796
"218","H5x30","H","85","5","30",2,0.143420804,0.46776859,0.33390768,3,0.201641346,0.454309683,0.357590634
"265","H6x30","H","89","6","30",3,0.182530745,0.466807309,0.324100235,2,0.115862272,0.438378089,0.323463263
"312","H7x30","H","46","7","30",3,0.264906278,0.462439157,0.323748114,3,0.236055096,0.456507136,0.3412941
"359","H8x30","H","62","8","30",3,0.37722972,0.475264882,0.329583286,4,0.418333249,0.467368919,0.354186147
"406","H9x30","H",NA,"9","30",NA,NA,NA,NA,NA,NA,NA,NA
"453","H10x30","H","85","10","30",2,0.105674184,0.443775839,0.326023273,2,0.158700149,0.45525848,0.356858609
"500","H11x30","H","81","11","30",3,0.235315819,0.448533572,0.327884158,3,0.32036232,0.464960706,0.357096605
"31","H1x31","H","52","1","31",3,0.243490899,0.472475735,0.327226138,4,0.358605214,0.462564812,0.345547729
"78","H2x31","H","72","2","31",2,0.115022757,0.469144889,0.333046662,2,0.157886895,0.448498974,0.350236227
"125","H3x31","H",NA,"3","31",NA,NA,NA,NA,NA,NA,NA,NA
"172","H4x31","H","59","4","31",2,0.109326647,0.460283562,0.318885988,2,0.176290642,0.439131223,0.338300061
"219","H5x31","H","38","5","31",2,0.056747659,0.449913834,0.324424212,1,0.024766272,0.43327488,0.342152057
"266","H6x31","H","58","6","31",2,0.068232952,0.453167779,0.330530768,4,0.522075558,0.478093474,0.323940264
"313","H7x31","H","71","7","31",3,0.339171327,0.474102701,0.324801544,4,0.382605613,0.471614211,0.355849085
"360","H8x31","H","49","8","31",3,0.085427815,0.454931743,0.334572106,3,0.15009895,0.453823736,0.34776143
"407","H9x31","H","60","9","31",3,0.214200975,0.467892072,0.343084936,4,0.339708843,0.472168861,0.374177081
"454","H10x31","H","23","10","31",3,0.289264018,0.454802822,0.327140244,3,0.349968482,0.462854425,0.358499792
"501","H11x31","H","70","11","31",3,0.211583508,0.47438394,0.33957871,4,0.389367684,0.479722944,0.379628926
"32","H1x32","H","44","1","32",4,0.358886381,0.497297528,0.336550593,3,0.316147262,0.469340435,0.35858517
"79","H2x32","H","84","2","32",2,0.08054826,0.45737423,0.310471788,3,0.333542135,0.467301133,0.359184418
"126","H3x32","H","81","3","32",3,0.185348322,0.482490294,0.330569378,3,0.30765549,0.463405032,0.355425489
"173","H4x32","H","79","4","32",3,0.421001168,0.49092863,0.319292042,3,0.496551877,0.477854676,0.356486514
"220","H5x32","H","73","5","32",3,0.292485789,0.477133622,0.332478709,3,0.240072026,0.448876524,0.340121021
"267","H6x32","H","94","6","32",3,0.185515635,0.458602852,0.324852275,4,0.405147413,0.474371887,0.345421679
"314","H7x32","H",NA,"7","32",NA,NA,NA,NA,NA,NA,NA,NA
"361","H8x32","H","86","8","32",3,0.26567233,0.473768416,0.329728546,4,0.407111334,0.471167843,0.351451062
"408","H9x32","H","79","9","32",3,0.340835649,0.467844383,0.325394588,3,0.390089126,0.470360215,0.362810078
"455","H10x32","H","55","10","32",3,0.28935564,0.458379538,0.337848655,3,0.310357575,0.45932766,0.37289273
"502","H11x32","H","70","11","32",3,0.153160757,0.467457214,0.338053173,3,0.398712929,0.470061348,0.357954893
"33","H1x33","H","85","1","33",3,0.133186708,0.473318705,0.339565825,3,0.258985488,0.461155625,0.353921565
"80","H2x33","H","87","2","33",3,0.32973925,0.47717465,0.326051841,3,0.343089682,0.455219768,0.35670354
"127","H3x33","H","23","3","33",4,0.369203624,0.481483776,0.319161912,3,0.406695444,0.459413948,0.347102678
"174","H4x33","H","63","4","33",3,0.142540142,0.461185823,0.325500498,3,0.266171783,0.447284192,0.358047701
"221","H5x33","H","32","5","33",2,0.111035424,0.461565613,0.344563835,3,0.271371476,0.455601169,0.358736394
"268","H6x33","H","49","6","33",2,0.049045377,0.446010469,0.32732815,2,0.092834061,0.446619053,0.352473331
"315","H7x33","H","25","7","33",3,0.220172408,0.466406606,0.328696366,4,0.288514398,0.452073015,0.350569185
"362","H8x33","H","80","8","33",4,0.272959884,0.472478857,0.32953146,3,0.34689101,0.461155525,0.358717383
"409","H9x33","H","34","9","33",3,0.319944643,0.464934424,0.332352165,3,0.350293848,0.46378271,0.370022408
"456","H10x33","H","72","10","33",2,0.11286744,0.486794907,0.328256573,2,0.106060048,0.46049351,0.365408688
"503","H11x33","H","69","11","33",4,0.350376064,0.470875376,0.329212663,3,0.369622716,0.471811551,0.352367817
"34","H1x34","H","30","1","34",3,0.315406023,0.476384668,0.324732382,4,0.471775343,0.469306735,0.34452864
"81","H2x34","H","55","2","34",3,0.269379932,0.480748295,0.331594751,3,0.386144663,0.465017014,0.360264314
"128","H3x34","H","25","3","34",3,0.172158239,0.453000746,0.322232381,0,0.015932118,0.428291867,0.34647019
"175","H4x34","H","33","4","34",4,0.266224295,0.49158106,0.32828514,NA,NA,NA,NA
"222","H5x34","H","28","5","34",4,0.399070186,0.490731722,0.320639531,5,0.478750092,0.476745369,0.350192375
"269","H6x34","H","74","6","34",2,0.074813712,0.463840609,0.327233118,3,0.282303541,0.462114881,0.355097561
"316","H7x34","H","36","7","34",3,0.262770153,0.472303457,0.321435516,4,0.347753888,0.474761215,0.347597449
"363","H8x34","H","67","8","34",4,0.340655038,0.487487239,0.331773828,4,0.464671578,0.481879423,0.340240464
"410","H9x34","H","69","9","34",4,0.371043027,0.462281988,0.315447749,3,0.339010174,0.473137806,0.350072628
"457","H10x34","H","84","10","34",2,0.149664346,0.456572669,0.325523496,3,0.241611124,0.466691154,0.368615024
"504","H11x34","H","69","11","34",4,0.309704464,0.45880252,0.337376047,4,0.385535537,0.484203762,0.36528014
"35","H1x35","H","90","1","35",2,0.091756494,0.474160451,0.33908011,2,0.087123718,0.453326652,0.346605789
"82","H2x35","H","47","2","35",3,0.1755823,0.485965508,0.328528052,3,0.332251241,0.46598044,0.358288606
"129","H3x35","H","101","3","35",2,0.179879505,0.476470887,0.327763668,2,0.250594383,0.45969051,0.356366867
"176","H4x35","H","79","4","35",3,0.326553712,0.492420877,0.327771683,4,0.475369765,0.482051749,0.366393308
"223","H5x35","H","34","5","35",1,0.074302252,0.463811448,0.376617915,0,0.067614356,0.43153142,0.406785946
"270","H6x35","H","46","6","35",3,0.122015868,0.472041125,0.331316696,3,0.144331542,0.453655548,0.349828935
"317","H7x35","H",NA,"7","35",NA,NA,NA,NA,NA,NA,NA,NA
"364","H8x35","H","74","8","35",3,0.292042874,0.477678706,0.331582097,3,0.324597443,0.467291786,0.355579008
"411","H9x35","H","52","9","35",3,0.285929461,0.453888225,0.329115095,3,0.312026817,0.459987206,0.370014291
"458","H10x35","H","28","10","35",4,0.232952298,0.456755642,0.328908823,4,0.447350576,0.478372897,0.356758365
"505","H11x35","H","76","11","35",4,0.369361271,0.487118968,0.339424354,3,0.236128776,0.463892398,0.379160333
"36","H1x36","H","93","1","36",4,0.30659866,0.481913982,0.32794172,4,0.379458955,0.471536809,0.350842202
"83","H2x36","H","86","2","36",4,0.222072473,0.480509101,0.325757958,4,0.410846871,0.471959476,0.357193404
"130","H3x36","H","102","3","36",3,0.374847155,0.484699187,0.318352261,5,0.456235318,0.460796647,0.345062741
"177","H4x36","H","75","4","36",2,0.025905316,0.443952462,0.335865737,4,0.28994609,0.45324152,0.379528485
"224","H5x36","H","69","5","36",3,0.254260649,0.484705084,0.328707901,4,0.400072922,0.476665131,0.364365179
"271","H6x36","H","94","6","36",3,0.166004847,0.465738617,0.326038224,3,0.169778595,0.480918156,0.341326422
"318","H7x36","H","64","7","36",2,0.159063708,0.455976408,0.330847891,4,0.326292837,0.46919957,0.358770176
"365","H8x36","H","54","8","36",1,0.038268623,0.463963047,0.360017318,2,0.133513241,0.446899562,0.390104964
"412","H9x36","H","92","9","36",3,0.096413233,0.45148692,0.338195627,2,0.129619119,0.456127062,0.36541019
"459","H10x36","H","79","10","36",3,0.406894742,0.463349151,0.323175231,4,0.471087393,0.487407662,0.369948773
"506","H11x36","H","48","11","36",2,0.136598486,0.452049783,0.343717597,3,0.238005257,0.459437778,0.357419933
"37","H1x37","H","86","1","37",3,0.216625661,0.471672678,0.328225858,4,0.413716451,0.466206716,0.347619804
"84","H2x37","H","103","2","37",3,0.14779361,0.478652507,0.330430234,3,0.281007518,0.46207031,0.360001291
"131","H3x37","H","79","3","37",3,0.383087131,0.488579164,0.323361912,4,0.405657175,0.470171321,0.35168155
"178","H4x37","H","82","4","37",3,0.245746497,0.479287281,0.314080319,4,0.356368768,0.463069849,0.332459051
"225","H5x37","H","79","5","37",3,0.379563077,0.488995026,0.331618089,4,0.439850543,0.479749796,0.367392066
"272","H6x37","H","35","6","37",2,0.076997979,0.46517545,0.335140613,2,0.140919855,0.450234989,0.346631824
"319","H7x37","H","62","7","37",3,0.171751686,0.458281446,0.328541707,4,0.360350622,0.467066038,0.3560322
"366","H8x37","H","40","8","37",3,0.331612192,0.484830872,0.319675318,4,0.44149367,0.486496693,0.342173339
"413","H9x37","H",NA,"9","37",NA,NA,NA,NA,NA,NA,NA,NA
"460","H10x37","H","63","10","37",3,0.142803053,0.433720693,0.322858085,3,0.229790543,0.447356687,0.363881199
"507","H11x37","H","23","11","37",4,0.390610629,0.46797165,0.333295777,4,0.485643181,0.476015639,0.344697004
"38","H1x38","H","60","1","38",4,0.320642351,0.479898455,0.324992927,4,0.497299671,0.478399811,0.337381075
"85","H2x38","H","74","2","38",4,0.20169741,0.475114257,0.323193678,3,0.28734759,0.468139649,0.362159035
"132","H3x38","H","52","3","38",2,0.27606484,0.473516583,0.317482227,3,0.299414485,0.45244364,0.345674941
"179","H4x38","H","89","4","38",3,0.156872657,0.457660392,0.313857486,4,0.357550625,0.462433782,0.345070686
"226","H5x38","H","78","5","38",3,0.231605412,0.468985858,0.328871179,3,0.326659462,0.457731621,0.359935068
"273","H6x38","H","52","6","38",3,0.177236563,0.470584,0.337754041,4,0.324844391,0.468695854,0.36506092
"320","H7x38","H","83","7","38",4,0.308458669,0.472052242,0.325277534,5,0.435573575,0.47249765,0.350541224
"367","H8x38","H","66","8","38",3,0.260976367,0.477639797,0.327451957,3,0.312334335,0.463360428,0.360673085
"414","H9x38","H","81","9","38",3,0.180044541,0.44682062,0.329251324,4,0.35206135,0.474689438,0.364537017
"461","H10x38","H","78","10","38",4,0.328841559,0.460617475,0.326122876,3,0.345063211,0.463474636,0.360550337
"508","H11x38","H","52","11","38",3,0.15012201,0.466138555,0.340623454,3,0.435192758,0.458494198,0.359200417
"39","H1x39","H","38","1","39",2,0.091558251,0.457495064,0.329997042,1,0.034952191,0.443298068,0.338124969
"86","H2x39","H","68","2","39",4,0.30733268,0.492437003,0.321634114,3,0.385672902,0.471674462,0.351921248
"133","H3x39","H","25","3","39",3,0.249000104,0.462387448,0.321651319,3,0.193734557,0.435682095,0.359071006
"180","H4x39","H","49","4","39",2,0.080005563,0.45996947,0.320211754,3,0.228359832,0.449228769,0.331833549
"227","H5x39","H","23","5","39",1,0.07163546,0.450340906,0.371264112,2,0.087809948,0.453983643,0.362570726
"274","H6x39","H","32","6","39",2,0.100408134,0.471131864,0.338520147,3,0.182318731,0.461199623,0.364976874
"321","H7x39","H","32","7","39",2,0.09070509,0.450910971,0.321745325,3,0.164278426,0.44679623,0.349065377
"368","H8x39","H","61","8","39",3,0.207310788,0.470851883,0.327400926,3,0.299576618,0.460543138,0.368717765
"415","H9x39","H","64","9","39",3,0.165868281,0.452860192,0.331415125,3,0.317242358,0.464774041,0.367848549
"462","H10x39","H","61","10","39",3,0.272952082,0.458062871,0.325540747,3,0.334147068,0.464367315,0.365011923
"509","H11x39","H","unique_genotype_19","11","39",2,0.289199318,0.474103108,0.343675637,2,0.250359006,0.450146058,0.370629566
"40","H1x40","H",NA,"1","40",NA,NA,NA,NA,NA,NA,NA,NA
"87","H2x40","H","94","2","40",3,0.302361177,0.487171026,0.317621467,4,0.364674713,0.480379201,0.351896913
"134","H3x40","H","88","3","40",3,0.27631288,0.468218796,0.314237369,4,0.400513409,0.463090245,0.341772074
"181","H4x40","H","48","4","40",2,0.115626266,0.467497479,0.337731406,3,0.179254788,0.451359133,0.354697983
"228","H5x40","H","26","5","40",3,0.290396428,0.481230151,0.322359902,4,0.396753553,0.465860665,0.349343436
"275","H6x40","H","33","6","40",4,0.358963645,0.488464475,0.323893848,4,0.412404832,0.474966708,0.348796527
"322","H7x40","H","43","7","40",3,0.146976289,0.461191073,0.322607982,3,0.153891576,0.448680251,0.33836111
"369","H8x40","H","49","8","40",2,0.100668857,0.455453329,0.327312484,2,0.17141285,0.454642458,0.359196452
"416","H9x40","H","73","9","40",3,0.339755871,0.473403014,0.336961234,4,0.386359062,0.474432616,0.382616143
"463","H10x40","H","unique_genotype_20","10","40",5,0.029365767,0.443787211,0.332389742,1,0.009018046,0.446525126,0.348269415
"510","H11x40","H","64","11","40",3,0.199349179,0.444562171,0.322116098,4,0.419320811,0.4650296,0.340843305
"41","H1x41","H","80","1","41",4,0.271650682,0.474315531,0.328413059,3,0.388688741,0.464403789,0.352412587
"88","H2x41","H","49","2","41",3,0.185096146,0.460350952,0.323213444,3,0.287351998,0.447541749,0.346412532
"135","H3x41","H","49","3","41",2,0.128144468,0.461536319,0.319109751,2,0.198538177,0.450564618,0.344460944
"182","H4x41","H",NA,"4","41",NA,NA,NA,NA,NA,NA,NA,NA
"229","H5x41","H","85","5","41",2,0.08047903,0.460032354,0.33118116,2,0.118342504,0.451661514,0.348634359
"276","H6x41","H","72","6","41",2,0.044315693,0.460656644,0.331449831,2,0.080405054,0.4495094,0.351919489
"323","H7x41","H","90","7","41",3,0.034833269,0.452762588,0.325325243,2,0.101576259,0.453085327,0.339554585
"370","H8x41","H","74","8","41",3,0.225089959,0.470928177,0.3245359,3,0.283623334,0.464917859,0.345555806
"417","H9x41","H","80","9","41",3,0.173915222,0.461965843,0.334746934,3,0.380824767,0.474595038,0.356718066
"464","H10x41","H","49","10","41",2,0.049736995,0.450599994,0.31544822,2,0.157700423,0.453488902,0.355462523
"511","H11x41","H","58","11","41",3,0.138625494,0.454426793,0.336795153,0,0.059632455,0.443882758,0.360463597
"42","H1x42","H","73","1","42",4,0.391787265,0.494104427,0.330037001,3,0.397914227,0.478327755,0.356203363
"89","H2x42","H","92","2","42",2,0.092146974,0.455163056,0.322468401,2,0.180512399,0.448320789,0.339551484
"136","H3x42","H",NA,"3","42",3,0.307418088,0.485851623,0.32071675,4,0.436599128,0.471275471,0.343179748
"183","H4x42","H","68","4","42",4,0.381740289,0.490288074,0.31594065,3,0.435621186,0.467107551,0.339842752
"230","H5x42","H","38","5","42",2,0.054978866,0.461724316,0.329410569,2,0.035487357,0.44753088,0.345193285
"277","H6x42","H","52","6","42",3,0.342091013,0.488255348,0.333151282,4,0.338559215,0.464204903,0.362631039
"324","H7x42","H","60","7","42",4,0.310561186,0.481444865,0.326557103,5,0.404606941,0.46936487,0.34365107
"371","H8x42","H","64","8","42",2,0.17068597,0.450825356,0.327845314,3,0.327815328,0.460185693,0.351583682
"418","H9x42","H","48","9","42",2,0.064045951,0.449544948,0.333906193,3,0.299413289,0.454366063,0.343926757
"465","H10x42","H","74","10","42",3,0.305500625,0.457948071,0.321439685,3,0.263338764,0.461551974,0.371381221
"512","H11x42","H","43","11","42",3,0.137050663,0.446100822,0.331685407,2,0.138119943,0.452418144,0.362669333
"43","H1x43","H","62","1","43",3,0.21019985,0.466717864,0.327490911,3,0.483099013,0.474778619,0.348867771
"90","H2x43","H","40","2","43",4,0.288305484,0.483506909,0.317819856,4,0.458769625,0.484447148,0.32921242
"137","H3x43","H","67","3","43",4,0.367903425,0.485322365,0.316324145,4,0.420532745,0.472633267,0.344167967
"184","H4x43","H","88","4","43",3,0.313775473,0.476614023,0.322796113,3,0.328951356,0.465311852,0.35548134
"231","H5x43","H",NA,"5","43",NA,NA,NA,NA,NA,NA,NA,NA
"278","H6x43","H","43","6","43",3,0.095611998,0.4683931,0.340460624,3,0.236536916,0.466959516,0.341883051
"325","H7x43","H","46","7","43",3,0.220657905,0.471985102,0.322022194,3,0.283038508,0.466249519,0.354790027
"372","H8x43","H","87","8","43",3,0.276281056,0.466313116,0.325936746,3,0.386101484,0.468547513,0.349722464
"419","H9x43","H","35","9","43",2,0.160114786,0.460097837,0.325750093,3,0.274638569,0.45115919,0.327972325
"466","H10x43","H","102","10","43",3,0.085778634,0.436345922,0.330781936,3,0.265040592,0.458873046,0.359746179
"513","H11x43","H","68","11","43",4,0.383164744,0.456773638,0.337192762,4,0.445500502,0.479519592,0.376176411
"44","H1x44","H","90","1","44",1,0.028197453,0.46315145,0.33521148,2,0.106465204,0.459090406,0.354854192
"91","H2x44","H","66","2","44",4,0.322280005,0.494742179,0.329287733,4,0.425523794,0.485365713,0.351831745
"138","H3x44","H","44","3","44",3,0.224660955,0.475600485,0.32348243,2,0.075395158,0.446198868,0.358279616
"185","H4x44","H","61","4","44",3,0.210366553,0.484343819,0.32358538,3,0.339906561,0.462010008,0.354496587
"232","H5x44","H","64","5","44",2,0.127458303,0.460638976,0.334831495,3,0.197493027,0.455156934,0.350168467
"279","H6x44","H","84","6","44",2,0.128895592,0.473560498,0.325872189,3,0.171299748,0.451045616,0.348547005
"326","H7x44","H","93","7","44",3,0.299210722,0.474851597,0.319523208,3,0.257289315,0.461569874,0.351624661
"373","H8x44","H","75","8","44",3,0.434682924,0.495924162,0.333565621,3,0.312761753,0.465316194,0.365841526
"420","H9x44","H",NA,"9","44",NA,NA,NA,NA,NA,NA,NA,NA
"467","H10x44","H","89","10","44",3,0.254718307,0.451249465,0.314687506,3,0.341242346,0.474899084,0.353339487
"514","H11x44","H","81","11","44",4,0.240142369,0.454092733,0.320918355,3,0.304749026,0.461549798,0.36346528
"45","H1x45","H","32","1","45",3,0.212662988,0.474849246,0.326255448,2,0.147594836,0.451593096,0.343002084
"92","H2x45","H","80","2","45",4,0.257424229,0.475295322,0.32394339,3,0.31412568,0.451744438,0.345141983
"139","H3x45","H",NA,"3","45",NA,NA,NA,NA,NA,NA,NA,NA
"186","H4x45","H","82","4","45",2,0.194747448,0.469912933,0.324646918,4,0.250671605,0.47957291,0.341273913
"233","H5x45","H","34","5","45",3,0.326871407,0.481564256,0.33239845,3,0.149041205,0.448818046,0.375392321
"280","H6x45","H","35","6","45",2,0.079216185,0.467586375,0.317563876,3,0.228920611,0.464145055,0.347838214
"327","H7x45","H","77","7","45",5,0.326865719,0.482290805,0.325672616,5,0.361333464,0.473783311,0.349707435
"374","H8x45","H","54","8","45",3,0.31465648,0.478648291,0.328392555,4,0.398055246,0.474130962,0.359908632
"421","H9x45","H","64","9","45",3,0.137012054,0.459684642,0.328224506,4,0.413001053,0.467159544,0.337992299
"468","H10x45","H","71","10","45",0,0.051157106,0.453942555,0.345146796,NA,NA,NA,NA
"515","H11x45","H","32","11","45",2,0.073236304,0.470224665,0.34319031,3,0.149596527,0.483175011,0.359067703
"46","H1x46","H","83","1","46",4,0.342553863,0.482587923,0.31780676,5,0.55969196,0.483031666,0.332992916
"93","H2x46","H","43","2","46",2,0.073855937,0.468581689,0.327811739,2,0.177797566,0.453363699,0.347560815
"140","H3x46","H","69","3","46",3,0.262529757,0.463905671,0.323910168,3,0.154368856,0.45541066,0.348686873
"187","H4x46","H","52","4","46",3,0.162665596,0.468211134,0.316959718,3,0.310419492,0.456001452,0.340966464
"234","H5x46","H","39","5","46",4,0.360122216,0.474090316,0.308583286,4,0.379679693,0.4662115,0.342675326
"281","H6x46","H","73","6","46",4,0.443534824,0.502189901,0.328810323,4,0.391401656,0.483524659,0.360410816
